Cierre,Año,Semestre,Trimestre,Mes_del_Semestre,Activos_MM_Cop,SaldoDeCartera_MM_Cop,CarteraVencida_MM_Cop,CastigosDeCartera_MM_cop,GananciasDelEjericio_MM_cop,Morosidad_Porc,Var_mora_Porc,Ind_Mora+Cast_Porc,Var_Mora(cast)_Porc,RoaEA_Porc,DivisasMdoSpot_Compra_usd,DivisasMdoSpot_Venta_usd,TasaUsura_Porc,Inflacion_Porc,IPVN_total,IPVN_Alred_Bog,IPVN_Bogota,IPVN_Cali,IPVN_Medellin,IPVU_Nom,IPVU_Real,TIB_Porc,CeroCupon_1añoPorc,CeroCupon_5añoPorc,CeroCupon_10añoPorc,BaseMonetaria_MMMCop,DepositosDelPublico_MMMCop,M1_MMMCop,M2_MMMCop,M3_MMMCop,IntervencionCompra_MMUsd,IntervencionVenta_MMUsd,IPC,InflaciónAnual_Porc,InflaciónMensualPorc,InflaciónAñoCorridoPorc,IndProdManufacturera,Ind_Inf_Nucleo15,Var_Nucleo15,Ind_Inf_SinAlim,Var_SinAlim,Ind_Inf_SinAlimRegulados,Var_SinAlimRegulados,Ind_Inf_Alim,Var_Alim,Ind_Inf_AlimRegulados,Var_AlimRegulados,IPP_OfInt_Agricultura,IPP_OfInt_Minas,IPP_OfInt_Manufactura,IPP_OfertaInterna,IPP_ProdNal_Agricultura,IPP_ProdNal_Minas,IPP_ProdNal_Manufactura,IPP_ProduccionNal,ITCR_IPP_NoTrad,ITCR_IPC_NoTrad,ITCR_IPP_ComTotal,ITCR_IPC_ComTol,ITCR_Otros,ITCR_FMI,IngresoRemesas_MMUsd,CuentaCorriente_MMUsd,Exportaciones_MMUsd,ImportacionesMMUsd,CuentaFinancieraMMUsd,IED_PetroleoMMUsd,IED_OtrosMMUsd,IED_AgroMMUsd,IED_MinasMMUsd,IED_ManufacturaMMUsd,IED_ElectricidadMMUsd,IED_ConstruccionMMUsd,IED_ComercioMMUsd,IED_TransporteMMUsd,IED_ServFinancierosMMUsd,IED_TelcosMMUsd,IED_TotalMMUsd,Min_TRM,Max_TRM,Ult_TRM,BF_SPNoFroIngresosMMMCop,BF_SPNoFroGastosMMMCop,BF_SPNoFroInteresesMMMCop,BF_SPNoFroNetoParcialMMMCop,BF_SPNoFroFinanciamientoIntMMMCop,BF_SPNoFroFinanciamientoExtMMMCop,BF_SPNoFroNetoTotalMMMCop,BFGCIngresosMMMCop,BFGCGastosMMMCop,BFGCInteresesMMMCop,BFGCNetoParcialMMMCop,BFGCFinanciamientoIntMMMCop,BFGCFinanciamientoExtMMMCop,IIOC_Total,IIOC_Carreteras,IIOC_Transporte,IIOC_Acueductos,IIOC_Mineria,IIOC_Ingenieria,PIBtrim_AgriculturaPorc,PIBtrim_MinasPorc,PIBtrim_ManufacturaPorc,PIBtrim_ComercioPorc,PIBtrim_ConstruccionPorc,PIBtrim_ServiciosPublicosPorc,PIBtrim_ServiciosFinancierosPorc,PIBtrim_OtrosPorc,PIBtrim_Subtotal_valAgregadoPorc,PIBtrim_NetoImpuestosPorc,PIBtrim_TotalPorc,PIBanual_AgriculturaPorc,PIBanual_MinasPorc,PIBanual_ManufacturaPorc,PIBanual_ComercioPorc,PIBanual_ConstruccionPorc,PIBanual_ServiciosPublicosPorc,PIBanual_ServiciosFinancierosPorc,PIBanual_OtrosPorc,PIBanual_Subtotal_valAgregadoPorc,PIBanual_NetoImpuestosPorc,PIBanual_TotalPorc,Tnal_PoblEdadTrabajoPorc,Tnal_PoblEconActivaPorc,Tnal_OcupadosPorc,Tnal_DesocupadosPorc,Tnal_SubEmpSubPorc,Tnal_SubEmpSubInsufHorasPorc,Tnal_SubEmpSubInsufCompPorc,Tnal_SubEmpSubInsufIngrPorc,Tnal_SubEmpObjPorc,Tnal_SubEmpObjInsufHorasPorc,Tnal_SubEmpObjInsufCompPorc,Tnal_SubEmpObjInsufIngrPorc,13Ciud_PoblEdadTrabajoPorc,13Ciud_PoblEconActivaPorc,13Ciud_OcupadosPorc,13Ciud_DesocupadosPorc,13Ciud_SubEmpSubPorc,13Ciud_SubEmpSubInsufHorasPorc,13Ciud_SubEmpSubInsufCompPorc,13Ciud_SubEmpSubInsufIngrPorc,13Ciud_SubEmpObjPorc,13Ciud_SubEmpObjInsufHorasPorc,13Ciud_SubEmpObjInsufCompPorc,13Ciud_SubEmpObjInsufIngrPorc,PetroleoWTIUltUsd,PetroleoWTIApertUsd,PetroleoWTIMaxUsd,PetroleoWTIMinUsd,PetroleoBrentUltUsd,PetroleoBrentApertUsd,PetroleoBrentMaxUsd,PetroleoBrentMinUsd,CafeBolsaUltUsd,CafeBolsaApertUsd,CafeBolsaMaxUsd,CafeBolsaMinUsd,GasUltUsd,GasApertUsd,GasMaxUsd,GasMinUsd,OroUltUsd,OroApertUsd,OroMaxUsd,OroMinUsd,AzucarUltUsd,AzucarApertUsd,AzucarMaxUsd,AzucarMinUsd,CafePrecioInternoCop
30/04/1995,1995,1,2,4,38433699.86,12347517.25,529362.46,267669.76,276315.79,4.287197574,0,6.318037294,0,2.172367743,,,,21.17,,,,,,300.609686,99.38559343,24.37682355,,,,5028.159,24425.88645,5762.136,24048.426,26307.82945,,,20.19,21.17,2.23,10.62,105.62,,,,,,,,,,,26.67093546,16.16917882,30.25631588,29.02482566,,,,,98.61,117.95,100.92,120,102.55,107.13,,,,,,,,,,,,,,,,,,866.25,878.2,877.9,5892.7,5556.6,694.275,336.1,,,,753.5,1024.525067,137.2,-271.0250667,371.6250667,-100.6,,,,,,,25.1118668,52.94605735,22.53939902,23.51310783,30.39612622,25.11768969,28.17599004,25.30471716,26.43902815,28.56894825,27.04100727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38,19.12,20.82,18.9,19.06,17.42,19.17,17.28,170.25,166.8,175.5,161.5,1.662,1.7,1.745,1.585,387,393.1,397.6,386,13.35,14.3,14.49,12.42,196408
31/05/1995,1995,1,2,5,39553190.08,12763542.23,530041.46,271366.26,297811.37,4.152777109,-3.135392362,6.148165295,-2.688683071,1.816587212,,,,21.3,,,,,,300.609686,99.38559343,19.93346858,,,,5422.707,25010.48417,5936.588,24812.343,26979.90117,,,20.52,21.3,1.65,12.45,119.96,,,,,,,,,,,27.3811751,16.6535714,30.50102323,29.41476356,,,,,98.28,117.65,100.26,119.24,103.43,105.98,,,,,,,,,,,,,,,,,,869.95,882.97,876.36,5892.7,5556.6,694.275,336.1,,,,723.6,1003.525067,45.7,-279.9250667,286.9250667,-7,,,,,,,25.1118668,52.94605735,22.53939902,23.51310783,30.39612622,25.11768969,28.17599004,25.30471716,26.43902815,28.56894825,27.04100727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89,20.49,20.8,18.45,17.7,19.25,19.38,17.31,153.85,169.55,173.5,149,1.718,1.67,1.824,1.635,385.1,388.3,388.3,383.8,11.72,11.58,12.05,11.06,203516
30/06/1995,1995,1,2,6,40296411.69,13220936.88,525035.89,286342.37,359471.16,3.97124572,-4.371325115,6.006970353,-2.296537836,1.792092682,,,,21.66,,,,,,300.609686,99.38559343,23.34327615,,,,5528.508,25737.49782,5818.058868,25108.81687,27763.76168,,,20.77,21.66,1.2,13.81,112.76,,,,,,,,,,,27.77119109,16.99110027,30.9613061,29.85579677,,,,,97.46,117,99.31,118.46,103.04,104.77,,,,,,,,,,,,,,,,,,871.02,881.23,881.23,5892.7,5556.6,694.275,336.1,,,,1025.5,960.6250667,53.6,64.87493333,-59.87493333,-5,,,,,,,25.1118668,52.94605735,22.53939902,23.51310783,30.39612622,25.11768969,28.17599004,25.30471716,26.43902815,28.56894825,27.04100727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,18.87,19.32,17.2,16.38,17.69,18.24,16.2,130.5,154.75,162,130.5,1.53,1.718,1.744,1.481,384.9,385,392.5,383.8,12.03,11.85,12.9,11.29,205813
31/07/1995,1995,2,3,1,41477778.97,13715255.28,637417.27,288978.46,417336.72,4.647505693,17.02891286,6.615111881,10.12393091,1.731054135,,,,21.5,,,,,,315.8243129,101.5596094,18.67229074,,,,5559.744,26070.14909,6186.153868,25922.20387,28198.87196,,,20.93,21.5,0.77,14.7,113.97,,,,,,,,,,,27.66650259,16.99625338,31.16668549,29.96739968,,,,,98.88,118.51,100.78,120.01,104.1,106.01,,,,,,,,,,,,,,,,,,880.49,897.77,897.63,6271.3,6187.6,694.275,83.7,,,,808,1129.425067,36.1,-321.4250667,322.6250667,-1.2,,,,,,,12.88235107,45.17192342,18.78063983,21.4248106,26.05527428,18.48448704,30.49387224,17.09656622,21.7818148,24.80669519,22.39257507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.56,17.11,17.72,16.6,16.01,16.4,16.4,15.41,145.7,130,152.8,120.5,1.614,1.512,1.615,1.335,382.3,384.1,387.1,381.6,10.5,10.75,10.8,9.62,202589
31/08/1995,1995,2,3,2,42066165.02,14223036.58,658374.01,293055.1,475644.57,4.628927208,-0.399751759,6.55430629,-0.919192185,1.70084407,,,,21.09,,,,,,315.8243129,101.5596094,39.56331555,,,,5480.838,26656.33693,6238.322998,26212.86,28714.52093,,,21.07,21.09,0.63,15.43,118.32,,,,,,,,,,,27.39246504,17.09931563,31.40993625,30.0588334,,,,,102.28,122.51,103.92,123.66,108.15,107.67,,,,,,,,,,,,,,,,,,898.35,972.03,960.19,6271.3,6187.6,694.275,83.7,,,,1087.299,1016.525067,220.6,70.77393333,-143.8739333,73.1,,,,,,,12.88235107,45.17192342,18.78063983,21.4248106,26.05527428,18.48448704,30.49387224,17.09656622,21.7818148,24.80669519,22.39257507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.84,17.56,18.66,17.31,16.25,16.15,16.51,15.76,146.4,146,154.8,140.35,1.748,1.615,1.755,1.39,382.9,382,387,381.3,10.86,10.49,11.73,10.48,201500
30/09/1995,1995,2,3,3,43607683.51,14739387.86,645967.52,306441.21,528581.55,4.382593946,-5.321605866,6.330051508,-3.421487666,1.619428792,,,,20.79,,,,,,315.8243129,101.5596094,17.22618621,,,,5404.263,26512.5139,6003.045915,26297.10292,28627.74082,,,21.24,20.79,0.84,16.4,119.53,,,,,,,,,,,27.0742941,16.77853438,31.66483973,30.13009791,,,,,104.92,125.31,106.42,126.25,110.75,108.71,,,,,,,,,,,,,,,,,,948.23,981.09,966.78,6271.3,6187.6,694.275,83.7,,,,687,1170.725067,106.1,-483.7250667,531.8250667,-48.1,,,,,,,12.88235107,45.17192342,18.78063983,21.4248106,26.05527428,18.48448704,30.49387224,17.09656622,21.7818148,24.80669519,22.39257507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54,17.9,19.08,17.11,16.12,16.28,17.04,15.83,117.25,144,148,113.15,1.75,1.745,1.789,1.571,383.8,386.2,386.2,383.3,11.29,10.95,11.85,10.58,201500
31/10/1995,1995,2,4,4,44393846.43,15138615.58,699525.35,317149.34,576544.01,4.62080133,5.435305819,6.577964244,3.91644104,1.56046003,,,,20.52,,,,,,330.98044,103.7369753,16.90680164,,,,5521.655,27793.90592,6044.089,27140.551,29841.65292,,,21.43,20.52,0.88,17.44,126.53,,,,,,,,,,,26.93368307,16.7888406,31.82069501,30.19732858,,,,,107.37,128.1,108.97,129.08,111.96,110.81,,,,,,,,,,,,,,,,,,966.78,995.01,994.5,6461.2,7338.5,694.275,-877.3,,,,932.1,900.8250667,89.8,31.27493333,-101.0749333,69.8,,,,,,,11.8648032,36.55109826,24.563224,20.07045084,18.93138269,14.54954881,28.56958977,28.77879303,22.44890551,25.08226329,22.89051037,18.17630346,40.34576215,22.67092663,22.96423917,25.62817128,20.80928183,29.54077236,24.11832207,24.30283802,29.11339392,25.03410414,,,,,,,,,,,,,,,,,,,,,,,,,17.64,17.53,17.75,16.81,16.33,16.16,16.42,15.58,121.55,120,129,111.5,1.866,1.84,1.917,1.692,383,383.3,386.4,381.6,10.56,10.2,11.08,10.2,201500
30/11/1995,1995,2,4,5,45172614.09,15619282.06,720631.87,326337.03,638874.26,4.613732355,-0.152981576,6.565871755,-0.183833296,1.543855475,,,,20.13,,,,,,330.98044,103.7369753,36.56507126,,,,5605.075,28395.65936,6126.246999,27882.8,30460.42736,,,21.6,20.13,0.79,18.37,128.87,,,,,,,,,,,27.56284044,16.80945305,32.08725123,30.56037421,,,,,107.82,129.27,109.31,130.17,110.83,110.98,,,,,,,,,,,,,,,,,,996.76,1003.47,998.16,6461.2,7338.5,694.275,-877.3,,,,585.5,1075.425067,55.2,-489.9250667,492.3250667,-2.4,,,,,,,11.8648032,36.55109826,24.563224,20.07045084,18.93138269,14.54954881,28.56958977,28.77879303,22.44890551,25.08226329,22.89051037,18.17630346,40.34576215,22.67092663,22.96423917,25.62817128,20.80928183,29.54077236,24.11832207,24.30283802,29.11339392,25.03410414,,,,,,,,,,,,,,,,,,,,,,,,,18.18,17.65,18.85,17.48,17.04,16.37,17.19,16.21,107.7,121,130,107.15,2.018,1.865,2.285,1.818,387.2,386.3,389,381.8,10.97,10.52,11.04,10.52,201500
31/12/1995,1995,2,4,6,46068810.3,16059138.82,653317.72,350411.05,635656.34,4.06819897,-11.82412293,6.116735547,-6.840465742,1.379797602,,,,19.46,,,,,,330.98044,103.7369753,52.06638398,,,,5855.457,28647.30002,6611.959997,27755.802,31005.92501,,,21.8,19.46,0.92,19.46,114.18,,,,,,,,,,,27.41504491,17.30930497,32.42226725,30.76878929,,,,,100.9,120.74,103.1,122.49,108.8,106.47,,,,,,,,,,,,,,,,,,974.04,998.15,987.65,6461.2,7338.5,694.275,-877.3,,,,925.7,1228.625067,104.2,-302.9250667,2.925066667,300,,,,,,,11.8648032,36.55109826,24.563224,20.07045084,18.93138269,14.54954881,28.56958977,28.77879303,22.44890551,25.08226329,22.89051037,18.17630346,40.34576215,22.67092663,22.96423917,25.62817128,20.80928183,29.54077236,24.11832207,24.30283802,29.11339392,25.03410414,,,,,,,,,,,,,,,,,,,,,,,,,19.55,18.18,19.82,18.18,18.33,17.07,18.53,17.06,94.9,107.5,109,93.15,2.619,2.02,3.72,2.003,387.6,387.6,390.5,385.5,11.6,11,11.65,11,201500
31/01/1996,1996,1,1,1,47153526.7,16348014.02,754632.37,352342.56,77759.96,4.616049198,13.46665274,6.628450864,8.365823779,1.996944072,,,,20.24,,,,,,347.152266,101.2855174,29.70368861,,,,6267.087,29161.12613,7717.836,28961.289,32034.42613,,,22.35,20.24,2.51,2.51,99.02,,,,,,,,,,,28.18173424,17.34151192,33.4593603,31.69926179,,,,,100.97,119.57,102.93,121.46,109.79,106.45,,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,987.65,1028.14,1028.14,6749.9,7113.7,1029.6,-363.8,,,,652.9531714,1074.591549,51.37250494,-421.638378,420.1402452,1.4981328,,,,,,,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,,,,,,,,,,,,,,,,,,,,,,,,,17.74,19.52,20.52,17.08,16.52,18.55,19.31,15.93,128.6,92.6,131.5,90.4,2.658,2.75,3.1,1.925,405.6,387.4,407.3,387.4,12.15,11.62,12.5,10.83,193339
29/02/1996,1996,1,1,2,47974823.97,16607231.17,800402.38,355358.97,123655.17,4.819601605,4.409667197,6.813590026,2.793098513,1.556500348,,,,20.81,,,,,,347.152266,101.2855174,27.96581295,,,,5987.209,29791.11291,6672.377,28431.308,32197.70391,,,23.25,20.81,4.01,6.62,114.89,,,,,,,,,,,28.45166636,18.67359151,34.33477171,32.43207612,,,,,101.35,118.68,103.09,120.24,108.15,107.45,,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,1021.29,1039.81,1039.81,6749.9,7113.7,1029.6,-363.8,,,,1166.762178,1306.195342,185.3111803,-139.433164,-227.3530902,366.7862542,,,,,,,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,,,,,,,,,,,,,,,,,,,,,,,,,19.54,17.72,23,17.43,17.76,16.6,18.45,16.43,117.8,128,130.75,113.6,2.236,2.66,2.9,2.16,399.9,406.8,417.5,396.5,12.53,11.96,13.25,11.87,190000
31/03/1996,1996,1,1,3,48829521.62,17046187.16,803762.71,373253.93,160062.06,4.715205239,-2.166078746,6.756913921,-0.831809736,1.317652073,,,,20.2,,,,,,347.152266,101.2855174,36.27487785,,,,5660.698,30173.73569,6618.494983,28859.80498,32535.38567,,,23.74,20.2,2.1,8.87,118.79,,,,,,,,,,,28.87144672,18.70579846,34.94654009,32.9712661,,,,,101.78,119.33,103.42,120.73,108.37,108.35,,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,1039.9,1049.22,1046,6749.9,7113.7,1029.6,-363.8,,,,958.4879114,1705.850162,176.499272,-747.3622503,483.3816503,263.9806,,,,,,,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,,,,,,,,,,,,,,,,,,,,,,,,,21.47,19.55,25.6,18.78,19.41,17.9,20.3,17.2,115.45,117.25,127.5,113.5,2.336,2.245,2.88,2.07,395.8,392.5,400.8,392.5,11.79,11.47,12.49,11.34,190000
30/04/1996,1996,1,2,4,49451870.13,17282718.27,890955.92,382143.52,186357.46,5.155183959,9.33106192,7.206959529,6.660520065,1.134804139,,,,19.9,,,,,,363.804256,99.9006992,30.04277509,,,,6158.694,31020.55558,6873.422964,28972.13996,33313.79655,,,24.21,19.9,1.97,11.02,110.99,,,,,,,,,,,29.24196191,19.0626515,35.20581335,33.26977029,,,,,99.74,115.98,101.67,117.61,107.8,105.96,,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1042.2,1058.9,1058.9,7206.8,7742.2,976.7,-535.4,,,,1194.2979,1445.126192,210.3181355,-250.8282919,408.0894811,-157.2611892,,,,,,,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.38,25.7,21.16,19.02,19.4,23.3,18.08,125.1,115.45,134,111,2.224,2.305,2.425,2.165,391.9,395.3,398,389.7,10.51,11.88,11.98,10.05,195750
31/05/1996,1996,1,2,5,50247177.3,17675529.41,920375.78,399928.2,239629.81,5.207062027,1.006328157,7.304401407,1.352052527,1.148388224,,,,19.78,,,,,,363.804256,99.9006992,31.63028071,,,,5888.384,31785.51035,6794.802,29677.241,34001.13535,,,24.58,19.78,1.55,12.75,119.77,,,,,,,,,,,29.5272894,19.94254547,35.66609622,33.70273581,,,,,98.16,113.12,100.45,115.24,107.74,103.96,,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1061.1,1073.06,1073.06,7206.8,7742.2,976.7,-535.4,,,,877.7154905,1136.574658,102.1535985,-258.8591677,240.6721665,18.18700116,,,,,,,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,,,,,,,,,,,,,,,,,,,,,,,,,19.76,20.9,22.9,19.62,17.8,18.85,19.68,16.75,116.1,126,131,115.7,2.406,2.22,2.455,2.115,390.9,391.3,392,389.5,11.21,10.43,11.59,10.31,201500
30/06/1996,1996,1,2,6,50936413.37,17963078.46,898612.94,439713.52,267871.1,5.002555336,-3.927487134,7.272409868,-0.437976187,1.054551901,,,,19.7,,,,,,363.804256,99.9006992,34.76640236,,,,5839.221,32251.61615,6680.954896,29682.0519,34584.10204,,,24.87,19.7,1.14,14.04,111.05,,,,,,,,,,,29.36204578,18.71739296,35.87875856,33.7511419,,,,,98.85,113.2,101.17,115.26,107.28,103.84,,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1068.2,1074.72,1069.11,7206.8,7742.2,976.7,-535.4,,,,1046.177461,1312.542761,91.9893288,-266.3652999,-162.4788485,428.8441484,,,,,,,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,,,,,,,,,,,,,,,,,,,,,,,,,20.92,19.76,22.2,19.46,18.91,17.76,19.24,17.48,126.95,114.5,128.2,112.15,2.911,2.38,2.98,2.335,380.1,390.8,391,382.3,12.43,11.15,12.85,11.15,201500
31/07/1996,1996,2,3,1,52134618.95,18188717.83,1007440.87,440952.52,316532.52,5.538822909,10.71987288,7.774659255,6.906230473,1.043074885,,,,20.57,,,,,,366.482421,96.69233512,25.55715939,,,,5928.295,32601.7299,7150.295744,30190.28874,35126.24565,,,25.24,20.57,1.51,15.76,115.61,,,,,,,,,,,29.75103541,18.91836435,36.20357844,34.09401832,,,,,97.53,111.7,99.89,113.73,105.38,102.08,,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1056.74,1070.55,1056.74,8284.3,8795.2,978.2,-510.9,,,,922.9133014,1515.970032,154.0490932,-593.0567307,611.6717355,-18.6150048,,,,,,,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,,,,,,,,,,,,,,,,,,,,,,,,,20.42,20.95,22.55,19.98,18.9,18.93,20.55,18.67,106.4,123.5,127.9,101.5,2.163,2.785,2.92,1.995,387.5,385,388,384,11.7,11.18,11.94,11.11,201500
31/08/1996,1996,2,3,2,52845753.73,18407894.71,1099030.07,450043.76,439290.71,5.970427837,7.792358329,8.214438882,5.656577513,1.249492175,,,,21.13,,,,,,366.482421,96.69233512,26.2788306,,,,5936.799,33567.53826,6838.069995,30647.059,36060.06225,,,25.52,21.13,1.1,17.04,113.17,,,,,,,,,,,29.70792838,19.19663243,36.45702533,34.26612884,,,,,96.21,109.37,98.55,111.4,102.99,99.58,,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1029.46,1057.47,1042.32,8284.3,8795.2,978.2,-510.9,,,,1160.074301,1309.465791,274.16486,-149.39149,207.1774139,-57.78592384,,,,,,,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,,,,,,,,,,,,,,,,,,,,,,,,,22.25,20.4,23.35,20.25,20.78,19,21,18.79,128.35,106.25,138.5,105.4,1.859,2.17,2.34,1.82,386.9,387.6,390.5,386,11.78,11.72,11.98,11.28,213565
30/09/1996,1996,2,3,3,53924798.44,18683684.08,1083309.59,471555.19,494387.7,5.798158358,-2.885379142,8.117177541,-1.184029025,1.224276804,,,,21.55,,,,,,366.482421,96.69233512,27.10131672,,,,5777.792,33825.48644,6649.153981,30599.05398,36214.78342,,,25.82,21.55,1.19,18.43,110.73,,,,,,,,,,,30.12052424,18.9982376,36.60122788,34.47454393,,,,,95.07,108.02,97.51,110.05,101.79,97.8,,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1025.06,1051.64,1025.06,8284.3,8795.2,978.2,-510.9,,,,911.3807114,1588.158489,145.768637,-676.7777781,736.6926028,-59.9148247,,,,,,,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,,,,,,,,,,,,,,,,,,,,,,,,,24.38,23.4,25.35,22.85,23.21,21.48,24.39,21.45,102.95,126.5,126.75,102.25,2.214,1.86,2.24,1.735,377.7,386.2,386.3,377.2,11.47,11.75,12.2,10.99,235500
31/10/1996,1996,2,4,4,53990375.85,18810359.93,1185582.52,476538.88,584964.98,6.302816769,8.703770755,8.617877951,6.168405302,1.301558514,,,,21.87,,,,,,373.0322593,95.37496548,25.55090839,,,,5806.671,34762.47492,6967.011965,31013.22297,37078.67389,,,26.12,21.87,1.15,19.8,116.31,,,,,,,,,,,30.96624312,19.61145799,36.79349794,34.87389412,,,,,91.62,104.74,93.98,106.6,98.16,94.21,,-1197.774587,4030.609234,5228.383821,3158.908124,247.8096323,792.0745772,12.16549251,11.65224586,250.1297607,175.2105661,10.01991325,40.80833749,41.25279666,244.204707,6.630757534,1039.884209,1005.83,1030.54,1005.83,8949.1,9246.9,923.7,-297.8,,,,1082.283621,1195.838201,158.561934,-113.5545793,102.2285757,11.32600359,,,,,,,4.974421286,23.01198766,11.79029237,14.10185416,2.660556397,39.6719713,26.91330457,48.71112958,19.52632764,3.792592834,18.31489607,8.641956013,27.64564491,16.91987047,15.69574724,4.636301138,30.33957667,25.27930268,42.68351661,20.14247758,9.464118265,19.27102286,,,,,,,,,,,,,,,,,,,,,,,,,23.35,24.1,26.1,23.1,22.67,22.9,25.06,22.62,117.2,103.5,123,103.5,2.728,2.205,2.88,2.165,378.1,377.3,384,377,10.3,10.87,11.05,10.29,235500
